"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename"
"ENSG00000214867|SRSF9P1",29.6365213226466,0.0708239684494681,0.688996588368097,0.10279291602476,0.918127327675387,0.993529997146041,"SRSF9P1",NA
"ENSG00000236830|CBR3-AS1",23.1803572703447,-0.0102164238994326,0.711184814002283,-0.0143653572155715,0.988538497474573,0.993529997146041,"CBR3-AS1","CBR3 antisense RNA 1"
"ENSG00000214889|RPS9P1",4409.88318516126,-0.18604480799205,0.252237410916028,-0.737578170170743,0.46077082491082,0.993529997146041,"RPS9P1",NA
"ENSG00000228149|RPL3P1",3492.06778577314,-0.17831949408554,0.311711874646489,-0.572065129978676,0.567277851574717,0.993529997146041,"RPL3P1","ribosomal protein L3 pseudogene 1"
"ENSG00000224790|HLCS-AS1",49.5064015454871,-0.284897045880659,0.504378298896784,-0.564847945488155,0.572177192435204,0.993529997146041,"HLCS-AS1","HLCS antisense RNA 1"
"ENSG00000215734|MRPL20P1",462.635282398655,-0.344054412954446,0.267242979955546,-1.28742170519007,0.197947343012327,0.993529997146041,"MRPL20P1",NA
"ENSG00000185808|PIGP",2.75193089163501,-4.9171028043019,4.80423541587653,-1.02349330926881,0.306074661757961,0.993529997146041,"PIGP","phosphatidylinositol glycan anchor biosynthesis class P"
"ENSG00000159259|CHAF1B",11.1648176778281,-6.93515562460881,4.78955787689213,-1.44797407252732,0.147624301875973,0.993529997146041,"CHAF1B","chromatin assembly factor 1 subunit B"
"ENSG00000228107",45.9331858793764,1.12176451904342,2.600037545851,0.431441661615029,0.666147262667178,0.993529997146041,NA,NA
"ENSG00000230366|DSCR9",3.59204635163437,0.481531052240858,1.51533023981667,0.317773010521533,0.750657124822064,0.993529997146041,"DSCR9","Down syndrome critical region 9"
"ENSG00000157540|DYRK1A",157.839007902587,0.466290115841268,4.09519503395351,0.113862737177406,0.909346604829449,0.993529997146041,"DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A"
"ENSG00000279365",5.38365229506155,0.210199865713075,1.33016540666828,0.158025358845839,0.874436816307985,0.993529997146041,NA,NA
"ENSG00000157542|KCNJ6",2.79450013512314,-0.446671083310124,4.64505125403755,-0.096160636101027,0.923392993727409,0.993529997146041,"KCNJ6","potassium inwardly rectifying channel subfamily J member 6"
"ENSG00000182670|TTC3",26.0153423752399,0.7412957407005,0.645270457698585,1.14881400791909,0.250632681993965,0.993529997146041,"TTC3","tetratricopeptide repeat domain 3"
"ENSG00000157551|KCNJ15",627.090592904678,-25.3926744577794,4.78482187679699,-5.30692157652011,1.1149211680603e-07,4.83132506159461e-06,"KCNJ15","potassium inwardly rectifying channel subfamily J member 15"
"ENSG00000185658|BRWD1",169.886007606003,0.0463785669716249,0.457081405033134,0.101466755070167,0.919179946935195,0.993529997146041,"BRWD1","bromodomain and WD repeat domain containing 1"
"ENSG00000231480|SNRPGP13",3.00910313775475,1.59815694153808,1.80911549626835,0.883391328433475,0.377024874371351,0.993529997146041,"SNRPGP13",NA
"ENSG00000228349|RPS26P4",169.061668424164,-2.0767649889246,0.346525061664832,-5.99311628124981,2.05857543182493e-09,1.33807403068621e-07,"RPS26P4","ribosomal protein S26 pseudogene 4"
"ENSG00000157601|MX1",3046.97106843487,-8.69827399530573,2.64841385921187,-3.28433336242026,0.00102223929254541,0.0189844440044148,"MX1","MX dynamin like GTPase 1"
"ENSG00000160179|ABCG1",4.57236146121243,1.89384121073242,1.54919218438291,1.22247015562294,0.221529883200079,0.993529997146041,"ABCG1","ATP binding cassette subfamily G member 1"
"ENSG00000160194|NDUFV3",49.7606294337181,-0.277195361017608,0.547177162935264,-0.506591611993871,0.612441395027209,0.993529997146041,"NDUFV3","NADH:ubiquinone oxidoreductase subunit V3"
"ENSG00000214326|RPL31P1",6.05280252950402,0.8485947101063,1.42910376161193,0.593795029375017,0.552649214017212,0.993529997146041,"RPL31P1","ribosomal protein L31 pseudogene 1"
"ENSG00000234289|H2BC12L",2297.98400978396,0.0889623189655087,0.280574678442295,0.317071802271727,0.751189120335086,0.993529997146041,"H2BC12L","H2B clustered histone 12 like"
"ENSG00000160213|CSTB",404.907476640721,0.295848307981923,0.334568573089098,0.884268074703887,0.376551517871162,0.993529997146041,"CSTB","cystatin B"
"ENSG00000160214|RRP1",11.00772356654,-6.91565834528346,4.78962345017399,-1.4438835155261,0.14877174433378,0.993529997146041,"RRP1","ribosomal RNA processing 1"
"ENSG00000160223|ICOSLG",28.6893069247432,-0.440332227402384,0.838316495640294,-0.525257739400755,0.59940403125648,0.993529997146041,"ICOSLG","inducible T cell costimulator ligand"
"ENSG00000232124",2.32100193579898,-2.12634159183174,2.48511578725073,-0.855630793036045,0.392202031749405,0.993529997146041,"LOC105372832","uncharacterized LOC105372832"
"ENSG00000141959|PFKL",38.6485729182462,8.73407970212042,1.69059775687882,5.16626717773792,2.38815352045034e-07,7.76149894146359e-06,"PFKL","phosphofructokinase, liver type"
"ENSG00000182912|TSPEAR-AS2",7.08133864025365,6.28457789571294,2.59639851945257,2.42049818185769,0.0154992568002562,0.223878153781478,"TSPEAR-AS2",NA
