transcript_id,SRR13953391,SRR13953392,SRR13953401,SRR13953402
ENST00000608809,0,0,0,0
ENST00000399975,0,0,0,0
ENST00000334352,0,0,0,0
ENST00000474835,0,0,0,0
ENST00000399973,0,0,0,0
ENST00000399976,0,0,0,0
ENST00000485067,0,0,0,0
ENST00000486719,0,0,0,0
ENST00000286777,0,0,0,0
ENST00000472184,0,0,0,0
